detector,base_id,transform,cwe,score_margin,vdcp_success,score_tie,decision_success
VulBERTa-public,bigvul-37c88107679d36c419572732b4af6e18bb2f7dce-482,safe_dead_code_carrier,CWE-20,0.04242214560508728,1.0,0.0,0.0
VulBERTa-public,bigvul-3984ef0b72831da8b3ece4745cac4f8575b19098-318,blank_line_expansion,CWE-320,0.03795349597930908,1.0,0.0,0.0
VulBERTa-public,bigvul-3984ef0b72831da8b3ece4745cac4f8575b19098-318,brace_line_shift,CWE-320,0.03795349597930908,1.0,0.0,0.0
VulBERTa-public,bigvul-3984ef0b72831da8b3ece4745cac4f8575b19098-318,code_normalization_abstraction,CWE-320,0.04282170534133911,1.0,0.0,0.0
VulBERTa-public,bigvul-3984ef0b72831da8b3ece4745cac4f8575b19098-318,comment_banner,CWE-320,0.17697834968566895,1.0,0.0,0.0
VulBERTa-public,bigvul-3984ef0b72831da8b3ece4745cac4f8575b19098-318,control_flow_rewrite,CWE-320,0.03795349597930908,1.0,0.0,0.0
VulBERTa-public,bigvul-3984ef0b72831da8b3ece4745cac4f8575b19098-318,dead_branch_after_opening_brace,CWE-320,0.07439517974853516,1.0,0.0,0.0
VulBERTa-public,bigvul-3984ef0b72831da8b3ece4745cac4f8575b19098-318,identifier_renaming,CWE-320,0.0702214241027832,1.0,0.0,0.0
VulBERTa-public,bigvul-3984ef0b72831da8b3ece4745cac4f8575b19098-318,original,CWE-320,0.03795349597930908,1.0,0.0,0.0
VulBERTa-public,bigvul-3984ef0b72831da8b3ece4745cac4f8575b19098-318,safe_dead_code_carrier,CWE-320,0.08922445774078369,1.0,0.0,0.0
VulBERTa-public,bigvul-3b0d77670a0613f409110817455d2137576b485a-1263,blank_line_expansion,CWE-399,-0.327492356300354,0.0,0.0,0.0
VulBERTa-public,bigvul-3b0d77670a0613f409110817455d2137576b485a-1263,brace_line_shift,CWE-399,-0.327492356300354,0.0,0.0,0.0
VulBERTa-public,bigvul-3b0d77670a0613f409110817455d2137576b485a-1263,code_normalization_abstraction,CWE-399,-0.38912004232406616,0.0,0.0,0.0
VulBERTa-public,bigvul-3b0d77670a0613f409110817455d2137576b485a-1263,comment_banner,CWE-399,-0.6387491524219513,0.0,0.0,0.0
VulBERTa-public,bigvul-3b0d77670a0613f409110817455d2137576b485a-1263,control_flow_rewrite,CWE-399,-0.327492356300354,0.0,0.0,0.0
VulBERTa-public,bigvul-3b0d77670a0613f409110817455d2137576b485a-1263,dead_branch_after_opening_brace,CWE-399,-0.26396310329437256,0.0,0.0,0.0
VulBERTa-public,bigvul-3b0d77670a0613f409110817455d2137576b485a-1263,identifier_renaming,CWE-399,-0.7267858386039734,0.0,0.0,0.0
VulBERTa-public,bigvul-3b0d77670a0613f409110817455d2137576b485a-1263,original,CWE-399,-0.327492356300354,0.0,0.0,0.0
VulBERTa-public,bigvul-3b0d77670a0613f409110817455d2137576b485a-1263,safe_dead_code_carrier,CWE-399,-0.2922595143318176,0.0,0.0,0.0
VulBERTa-public,bigvul-3c8e4852477d5b1e2da877808c998dc57db9460f-2802,blank_line_expansion,CWE-20,-0.00031054019927978516,0.0,0.0,0.0
VulBERTa-public,bigvul-3c8e4852477d5b1e2da877808c998dc57db9460f-2802,brace_line_shift,CWE-20,-0.00031054019927978516,0.0,0.0,0.0
VulBERTa-public,bigvul-3c8e4852477d5b1e2da877808c998dc57db9460f-2802,code_normalization_abstraction,CWE-20,-0.00031054019927978516,0.0,0.0,0.0
